x,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
194,252.226,248.123,241.431,228.583,212.317,194,169.213,128.734,64.9902,16.5636,0.274207
195,252.278,248.25,241.679,229.054,213.05,195,170.523,130.4,66.6826,17.4375,0.311818
196,252.33,248.377,241.926,229.523,213.781,196,171.836,132.078,68.41,18.3527,0.354354
197,252.381,248.504,242.173,229.991,214.512,197,173.153,133.769,70.1731,19.3108,0.402431
198,252.432,248.63,242.418,230.457,215.24,198,174.473,135.473,71.9723,20.3138,0.456736
199,252.483,248.755,242.663,230.922,215.968,199,175.796,137.19,73.8082,21.3633,0.518039
200,252.534,248.88,242.906,231.385,216.695,200,177.123,138.92,75.6814,22.4615,0.587199
201,252.584,249.004,243.148,231.848,217.42,201,178.453,140.663,77.5925,23.6102,0.665177
202,252.634,249.127,243.39,232.308,218.144,202,179.786,142.419,79.5419,24.8114,0.753043
203,252.684,249.25,243.63,232.768,218.867,203,181.123,144.188,81.5304,26.0675,0.851994
204,252.734,249.373,243.87,233.226,219.589,204,182.463,145.971,83.5584,27.3804,0.963363
205,252.784,249.495,244.109,233.682,220.31,205,183.806,147.766,85.6266,28.7526,1.08863
206,252.833,249.616,244.346,234.138,221.029,206,185.153,149.575,87.7355,30.1863,1.22947
207,252.882,249.737,244.583,234.591,221.747,207,186.503,151.396,89.8858,31.6841,1.3877
208,252.93,249.858,244.819,235.044,222.464,208,187.856,153.232,92.078,33.2485,1.56538
209,252.979,249.977,245.054,235.495,223.181,209,189.212,155.08,94.3128,34.882,1.76479
210,253.027,250.097,245.288,235.946,223.895,210,190.572,156.942,96.5908,36.5874,1.98847
211,253.075,250.216,245.521,236.394,224.609,211,191.935,158.817,98.9126,38.3675,2.23922
212,253.123,250.334,245.753,236.842,225.322,212,193.301,160.705,101.279,40.2251,2.52018
213,253.171,250.452,245.985,237.288,226.033,213,194.67,162.607,103.69,42.1633,2.83482
214,253.218,250.569,246.215,237.733,226.744,214,196.043,164.522,106.147,44.1851,3.18698
215,253.266,250.686,246.445,238.177,227.453,215,197.418,166.451,108.65,46.2938,3.58094
216,253.313,250.802,246.674,238.619,228.161,216,198.797,168.393,111.201,48.4926,4.02142
217,253.359,250.918,246.902,239.061,228.869,217,200.179,170.349,113.799,50.785,4.51366
218,253.406,251.034,247.129,239.501,229.575,218,201.565,172.318,116.445,53.1745,5.06347
219,253.452,251.148,247.355,239.939,230.28,219,202.953,174.301,119.141,55.6647,5.67726
220,253.499,251.263,247.581,240.377,230.984,220,204.345,176.298,121.886,58.2593,6.36213
221,253.545,251.377,247.805,240.814,231.687,221,205.74,178.308,124.681,60.9623,7.12595
222,253.59,251.49,248.029,241.249,232.389,222,207.138,180.332,127.528,63.7776,7.97738
223,253.636,251.603,248.252,241.683,233.089,223,208.539,182.369,130.426,66.7094,8.92601
224,253.681,251.716,248.474,242.116,233.789,224,209.943,184.421,133.377,69.7619,9.98243
225,253.727,251.828,248.696,242.548,234.488,225,211.351,186.486,136.38,72.9396,11.1583
226,253.772,251.94,248.917,242.978,235.186,226,212.761,188.565,139.438,76.247,12.4666
227,253.816,252.051,249.136,243.408,235.882,227,214.175,190.658,142.55,79.6887,13.9214
228,253.861,252.162,249.356,243.836,236.578,228,215.592,192.764,145.718,83.2697,15.5384
229,253.905,252.272,249.574,244.263,237.273,229,217.012,194.885,148.942,86.9948,17.335
230,253.95,252.382,249.792,244.689,237.967,230,218.435,197.02,152.222,90.8692,19.33
231,253.994,252.492,250.008,245.114,238.659,231,219.861,199.168,155.56,94.8982,21.5444
232,254.038,252.601,250.224,245.538,239.351,232,221.29,201.331,158.957,99.0873,24.0013
233,254.081,252.71,250.44,245.961,240.042,233,222.722,203.507,162.412,103.442,26.726
234,254.125,252.818,250.654,246.383,240.731,234,224.158,205.698,165.928,107.968,29.7462
235,254.168,252.926,250.868,246.803,241.42,235,225.596,207.902,169.503,112.672,33.0927
236,254.211,253.033,251.081,247.223,242.108,236,227.038,210.121,173.141,117.56,36.799
237,254.254,253.14,251.294,247.642,242.795,237,228.482,212.354,176.84,122.637,40.902
238,254.297,253.247,251.506,248.059,243.481,238,229.93,214.601,180.603,127.911,45.4422
239,254.34,253.353,251.717,248.475,244.166,239,231.381,216.863,184.429,133.388,50.4642
240,254.382,253.459,251.927,248.891,244.85,240,232.834,219.138,188.32,139.076,56.0166
241,254.425,253.564,252.136,249.305,245.533,241,234.291,221.428,192.276,144.98,62.1529
242,254.467,253.669,252.345,249.718,246.215,242,235.751,223.732,196.298,151.11,68.9318
243,254.509,253.774,252.553,250.13,246.896,243,237.213,226.05,200.388,157.471,76.4174
244,254.551,253.878,252.761,250.542,247.577,244,238.679,228.383,204.545,164.073,84.6801
245,254.592,253.982,252.968,250.952,248.256,245,240.148,230.73,208.771,170.923,93.7967
246,254.634,254.085,253.174,251.361,248.934,246,241.62,233.092,213.066,178.028,103.852
247,254.675,254.188,253.38,251.769,249.612,247,243.095,235.468,217.432,185.399,114.937
248,254.716,254.291,253.584,252.177,250.288,248,244.572,237.859,221.87,193.044,127.153
249,254.757,254.394,253.789,252.583,250.964,249,246.053,240.264,226.379,200.97,140.611
250,254.798,254.496,253.992,252.988,251.639,250,247.537,242.683,230.961,209.189,155.43
251,254.839,254.597,254.195,253.392,252.313,251,249.024,245.117,235.618,217.709,171.743
252,254.879,254.698,254.397,253.796,252.986,252,250.513,247.566,240.349,226.539,189.692
253,254.92,254.799,254.599,254.198,253.658,253,252.006,250.029,245.156,235.691,209.435
254,254.96,254.9,254.8,254.6,254.33,254,253.501,252.507,250.039,245.175,231.142
255,255,255,255,255,255,255,255,255,255,255,255
